이름,평점,리뷰수,주소,대표메뉴,가격,분류,링크
담은갈비,4.2,135,서울 송파구 삼전로 93 1층,소고기 된장죽 (3~4인분),12000,갈비,https://place.map.kakao.com/12347827
도삭면공방,4.0,173,서울 송파구 백제고분로7길 8-12 승현빌딩 1층,짜장도삭면,8000,중국요리,https://place.map.kakao.com/1181524598
커피바이 로스터스,4.0,33,서울 송파구 백제고분로17길 56 2층,아메리카노,4500,커피전문점,https://place.map.kakao.com/438591937
파오파오 새마을시장본점,4.0,17,서울 송파구 석촌호수로12길 22 1층 101호,만두 (3인분),12000,분식,https://place.map.kakao.com/11952404
연탄부락 잠실새내점,4.2,221,서울 송파구 백제고분로9길 22 1층,생삼겹살,15000,삼겹살,https://place.map.kakao.com/2020430696
태민양꼬치,4.5,55,서울 송파구 백제고분로7길 32-18,양갈비살꼬치(1인분),12000,양꼬치,https://place.map.kakao.com/20000047
천수횟집,4.2,16,서울 송파구 석촌호수로12길 10 1층,신안줄돔,변동가격,회,https://place.map.kakao.com/2039595362
석쇠한판 신천점,4.9,23,서울 송파구 백제고분로9길 29 1층,삼겹살 (180g),15000,"육류,고기",https://place.map.kakao.com/8427270
송어야,4.1,49,서울 송파구 백제고분로9길 9 1층,송어회,변동가격,회,https://place.map.kakao.com/1996880575
하얼빈양꼬치 잠실본점,4.4,44,서울 송파구 백제고분로17길 45 1층 101호,고급양갈비 (1인분),20000,양꼬치,https://place.map.kakao.com/21211219
벼락가우리 신천점,4.1,17,서울 송파구 석촌호수로12길 29,가우리코스,40000,일식,https://place.map.kakao.com/24787517
신천생태,4.2,27,서울 송파구 올림픽로8길 32,생태탕,16000,"해물,생선",https://place.map.kakao.com/1755004918
신천포차,4.2,93,서울 송파구 석촌호수로12길 8,두부조림,11000,실내포장마차,https://place.map.kakao.com/7980341
초대창 잠실새내점,4.5,999+,서울 송파구 백제고분로9길 17 1층,모둠구이,59000,"곱창,막창",https://place.map.kakao.com/617218371
하늘닭발,4.3,59,서울 송파구 올림픽로10길 22 1층,직화 무뼈 닭발,18000,닭요리,https://place.map.kakao.com/55629885
갑돼지 신천본점,4.4,7,서울 송파구 백제고분로7길 52-8 1층,삼겹살(180g),14000,"육류,고기",https://place.map.kakao.com/27342866
리꼬르도,4.1,61,서울 송파구 석촌호수로12길 17-23,부채살 샐러드,12000,이탈리안,https://place.map.kakao.com/2040100973
주택가,4.0,59,서울 송파구 올림픽로10길 26 1층,봉골레 술찜,24000,"호프,요리주점",https://place.map.kakao.com/750694763
무한리필 조개정육점 잠실새내점,4.3,16,서울 송파구 올림픽로10길 16 혜성빌딩 2층,성인,31900,조개,https://place.map.kakao.com/1636120611
노아베이커리 잠실엘스점,4.4,22,서울 송파구 올림픽로 119 파인애플 상가 1층 A 18호,진저밀크 마카롱,2500,"제과,베이커리",https://place.map.kakao.com/26782823
울랄라횟집,4.6,80,서울 송파구 백제고분로15길 44 1층,광어 (중),45000,회,https://place.map.kakao.com/281372936
농장사람들 잠실신천점,4.4,9,서울 송파구 백제고분로17길 54 1층,꽃등심 (150g),28000,"육류,고기",https://place.map.kakao.com/1663610587
이태리양조장 잠실본점,4.1,751,서울 송파구 백제고분로7길 27 1층,,,"호프,요리주점",https://place.map.kakao.com/1997791215
별미곱창 잠실점,4.7,120,서울 송파구 올림픽로10길 20 1층,모듬곱창,25000,"곱창,막창",https://place.map.kakao.com/117149412
멸치집 본점,4.7,42,서울 송파구 백제고분로15길 44 101호,찌개세트 A,39000,"해물,생선",https://place.map.kakao.com/12751018
팔팔뼈해장국감자탕,4.5,3,서울 송파구 백제고분로7길 6-5,감자탕(소),30000,감자탕,https://place.map.kakao.com/648596761
장수소곱창,4.9,11,서울 송파구 백제고분로17길 49 101호,곱창전골 (소),30000,"곱창,막창",https://place.map.kakao.com/21893174
동북양꼬치,4.0,6,서울 송파구 석촌호수로12길 14,양갈비살꼬치 (1인분),13000,양꼬치,https://place.map.kakao.com/17515271
신천양꼬치구이 신천본점,4.6,10,서울 송파구 백제고분로7길 32-29,고급양갈비,22000,양꼬치,https://place.map.kakao.com/11831479
벙,5.0,3,서울 송파구 백제고분로7길 24-19 지하 1층,치즈떡볶이,13000,"호프,요리주점",https://place.map.kakao.com/27496748
트레스드,4.2,327,서울 송파구 백제고분로15길 50 1층,아메리카노,4500,디저트카페,https://place.map.kakao.com/1437367184
달콤왕가탕후루 잠실새내역점,4.1,46,서울 송파구 백제고분로7길 49 쌍용더플래티넘잠실 1층 107호,딸기 탕후루,3000,간식,https://place.map.kakao.com/2087532574
하우스서울,4.2,209,서울 송파구 백제고분로9길 5 1층,아메리카노,4500,카페,https://place.map.kakao.com/957718512
설빙 서울신천역점,4.3,9,서울 송파구 백제고분로9길 47 2층,,,디저트카페,https://place.map.kakao.com/25497406
해주찹쌀순대,4.1,57,서울 송파구 올림픽로12길 28,해주순대국,9000,순대,https://place.map.kakao.com/17811923
